league,method,time_index,regulation_fraction,bin_id,n_games,mean_forecast,observed_rate,gap,bin_lower,bin_upper
nba,linear,4,0.2,10,827,0.9200008084626207,0.89359129383313185,-0.026409514629487818,0.8734999999999999,0.996
nba,linear,5,0.25,9,835,0.8476790419161692,0.8263473053892215,-0.021331736526946112,0.812,0.884
nba,linear,6,0.30000000000000004,9,828,0.8580163771576957,0.821256038647343,-0.03676033851035256,0.8210000000000002,0.8955294117647058
nba,linear,7,0.35000000000000003,9,827,0.8695876214917284,0.841596130592503,-0.02799149089922665,0.8313333333333333,0.906
nba,linear,10,0.5,8,830,0.8264677772593795,0.7951807228915663,-0.031287054367812914,0.785,0.868
nba,linear,12,0.6000000000000001,10,827,0.9879246801920019,0.9806529625151149,-0.007271717676884297,0.9685833333333332,0.999
nba,linear,14,0.7000000000000001,10,829,0.9953210070456607,0.9939686369119421,-0.001352370133711969,0.9856666666666667,0.999
nba,locf,0,0,9,829,0.785179734620023,0.7563329312424608,-0.028846803377563335,0.754,0.82
nba,locf,1,0.05,9,837,0.793728793309438,0.7837514934289128,-0.009977299880525703,0.761,0.831
nba,locf,2,0.1,8,824,0.7417099514563109,0.7220873786407767,-0.019622572815533913,0.711,0.773
nba,locf,3,0.15000000000000002,9,840,0.8230130952380963,0.7928571428571428,-0.0301559523809524,0.788,0.86
nba,locf,4,0.2,10,830,0.9198325301204814,0.9,-0.019832530120481952,0.874,0.996
nba,locf,5,0.25,9,836,0.8476423444976092,0.8265550239234449,-0.021087320574162686,0.812,0.884
nba,locf,6,0.30000000000000004,9,830,0.8576433734939758,0.8240963855421687,-0.033546987951807224,0.82,0.894
nba,locf,7,0.35000000000000003,9,824,0.8691966019417474,0.837378640776699,-0.03181796116504855,0.832,0.906
nba,locf,10,0.5,8,830,0.826486746987952,0.7951807228915663,-0.03130602409638552,0.785,0.868
nba,locf,12,0.6000000000000001,10,838,0.9875155131264949,0.9821002386634845,-0.0054152744630071425,0.968,0.999
nba,locf,14,0.7000000000000001,10,827,0.9952394195888824,0.992744860943168,-0.002494558645707404,0.986,0.999
nba,linear,2,0.1,9,827,0.8110523733673899,0.7835550181378477,-0.02749735522954231,0.7745,0.8482
nba,linear,4,0.2,9,827,0.8366356619078078,0.8065296251511487,-0.03010603675665905,0.8021333333333334,0.8733076923076921
nba,linear,5,0.25,7,829,0.7000928829915565,0.6924004825090471,-0.007692400482509039,0.662,0.74
nba,linear,6,0.30000000000000004,6,826,0.6278965147596226,0.6138014527845036,-0.014095061975118917,0.5861428571428571,0.6678947368421054
nba,linear,7,0.35000000000000003,5,824,0.5414952905608804,0.5485436893203883,0.007048398759506998,0.4953999999999992,0.5889130434782611
nba,linear,9,0.45,2,827,0.19293283539100406,0.25151148730350664,0.05857865191250274,0.132,0.2524999999999999
nba,linear,10,0.5,1,825,0.057236363636363564,0.1006060606060606,0.043369696969696954,0,0.115
nba,linear,11,0.55,2,826,0.14903645511935726,0.1864406779661017,0.03740422284674454,0.09103571428571436,0.20788888888888887
nba,linear,14,0.7000000000000001,2,828,0.08213650180796345,0.1292270531400966,0.047090551332133156,0.03699999999999968,0.1338636363636362
nba,linear,15,0.75,2,827,0.06253929866989108,0.09673518742442563,0.03419588875453448,0.024,0.111
nba,linear,16,0.8,3,827,0.1506814372848585,0.21039903264812576,0.059717595363267165,0.08361538461538469,0.23154545454545464
nba,linear,17,0.8500000000000001,2,825,0.025433131235754785,0.04363636363636364,0.01820323240060882,0.00514285714285712,0.056866666666666836
nba,locf,2,0.1,9,829,0.8098636911942095,0.7804583835946924,-0.029405307599517472,0.774,0.846
nba,locf,4,0.2,9,833,0.8361764705882354,0.7959183673469388,-0.04025810324129651,0.801,0.873
nba,locf,5,0.25,7,829,0.7000928829915565,0.6924004825090471,-0.007692400482509039,0.662,0.74
nba,locf,6,0.30000000000000004,6,825,0.6275284848484842,0.6181818181818182,-0.00934666666666667,0.586,0.668
nba,locf,7,0.35000000000000003,5,835,0.5405377245508982,0.5413173652694611,7.796407185628693e-4,0.494,0.5880000000000001
nba,locf,9,0.45,2,822,0.19339902676399034,0.24452554744525548,0.05112652068126519,0.134,0.253
nba,locf,10,0.5,1,825,0.057236363636363564,0.1006060606060606,0.043369696969696954,0,0.115
nba,locf,11,0.55,2,827,0.14914752116082236,0.19105199516324062,0.04190447400241834,0.08999999999999997,0.208
nba,locf,12,0.6000000000000001,3,825,0.25430666666666646,0.31272727272727274,0.05842060606060604,0.189,0.323
nba,locf,14,0.7000000000000001,2,828,0.0818925120772946,0.13405797101449277,0.05216545893719809,0.037,0.132
nba,locf,15,0.75,2,827,0.06253929866989108,0.09673518742442563,0.03419588875453448,0.024,0.111
nba,locf,16,0.8,3,830,0.1509168674698794,0.21445783132530122,0.06354096385542166,0.08399999999999996,0.23
nba,locf,17,0.8500000000000001,3,832,0.12404567307692298,0.18028846153846154,0.056242788461538434,0.057,0.207
nba,linear,0,0,2,814,0.36332923832923864,0.35626535626535627,-0.007063882063882066,0.316,0.403
nba,linear,1,0.05,2,826,0.34939617487116775,0.37409200968523004,0.024695834814062102,0.2962173913043478,0.39321428571428574
nba,linear,2,0.1,2,826,0.3249715180421641,0.36319612590799033,0.03822460786582611,0.27031578947368423,0.37275
nba,linear,3,0.15000000000000002,2,826,0.30312984159351203,0.3135593220338983,0.010429480440386071,0.2464999999999998,0.3510000000000004
nba,linear,4,0.2,3,827,0.3808767904932774,0.39903264812575573,0.018155857632478248,0.3318571428571429,0.42677777777777787
nba,linear,11,0.55,3,827,0.27193930182571335,0.32406287787182586,0.05212357604611253,0.20806896551724147,0.3346842105263154
nba,linear,15,0.75,3,829,0.1819167671893848,0.24728588661037396,0.06536911942098911,0.112,0.263
nba,linear,17,0.8500000000000001,4,826,0.29735205736871906,0.3486682808716707,0.05131622350295122,0.2030000000000005,0.4009090909090892
nba,linear,18,0.9,5,827,0.5188136913294434,0.5501813784764208,0.03136768714697683,0.389,0.65
nba,linear,19,0.95,4,827,0.5154110305054608,0.5695284159613059,0.05411738545584536,0.369749999999999,0.6652000000000003
nba,locf,0,0,2,814,0.36332923832923864,0.35626535626535627,-0.007063882063882066,0.316,0.403
nba,locf,2,0.1,3,827,0.41345586457073685,0.41717049576783555,0.003714631197097943,0.373,0.452
nba,locf,3,0.15000000000000002,2,829,0.3034053075995174,0.3220747889022919,0.018669481302774404,0.246,0.352
nba,locf,4,0.2,3,820,0.38133292682926856,0.39634146341463417,0.015008536585365849,0.333,0.426
nba,locf,11,0.55,3,833,0.27134453781512613,0.32412965186074427,0.05278511404561825,0.20899999999999996,0.335
nba,locf,15,0.75,3,829,0.1819167671893848,0.24728588661037396,0.06536911942098911,0.112,0.263
nba,locf,17,0.8500000000000001,4,823,0.2993426488456867,0.34386391251518833,0.04452126366950178,0.20799999999999996,0.398
nba,locf,18,0.9,5,823,0.516130012150668,0.5552855407047388,0.0391555285540705,0.392,0.641
nba,locf,19,0.95,4,830,0.5130722891566257,0.5710843373493976,0.058012048192771004,0.376,0.662
nba,linear,0,0,3,837,0.44004540023894867,0.44922341696535245,0.009178016726403837,0.404,0.476
nba,linear,1,0.05,5,828,0.5581132362825048,0.5458937198067633,-0.012219516475741566,0.5288461538461539,0.5862857142857142
nba,linear,2,0.1,5,832,0.5573350689364055,0.5444711538461539,-0.012863915090251995,0.527,0.5886153846153845
nba,linear,4,0.2,4,826,0.4666112368139302,0.4600484261501211,-0.006562810663808773,0.4268181818181818,0.50655
nba,linear,5,0.25,5,819,0.5454920634920631,0.5433455433455433,-0.0021465201465201474,0.506,0.5840000000000001
nba,linear,6,0.30000000000000004,5,827,0.5427526353826901,0.5525997581620314,0.009847122779341012,0.4994666666666669,0.586
nba,linear,8,0.4,6,826,0.6314454479810966,0.6452784503631961,0.013833002382100336,0.5867000000000001,0.6758125
nba,linear,9,0.45,7,825,0.7299437474152006,0.7103030303030303,-0.019640717112170622,0.6835454545454545,0.7729565217391304
nba,linear,11,0.55,7,827,0.7512729874116865,0.7303506650544136,-0.020922322357272594,0.6982666666666665,0.7993076923076925
nba,linear,13,0.65,8,826,0.8787643301359161,0.847457627118644,-0.03130670301727257,0.8286666666666663,0.9224375
nba,linear,14,0.7000000000000001,6,826,0.6695544552071389,0.6803874092009685,0.01083295399382907,0.597833333333333,0.7387999999999996
nba,linear,15,0.75,5,825,0.5127078787878787,0.553939393939394,0.041231515151515144,0.423,0.602
nba,linear,16,0.8,5,827,0.5132476969824566,0.5332527206771464,0.020005023694689004,0.42121052631578965,0.6071500000000004
nba,linear,17,0.8500000000000001,5,827,0.5112775433025721,0.5211608222490931,0.009883278946520984,0.40100000000000063,0.6184615384615382
nba,linear,18,0.9,6,826,0.7502711547704114,0.7651331719128329,0.014862017142421169,0.6500909090909086,0.844
nba,linear,19,0.95,6,827,0.9475001954145771,0.9492140266021766,0.001713831187598631,0.89475,0.9822105263157894
nba,locf,0,0,3,837,0.44004540023894867,0.44922341696535245,0.009178016726403837,0.404,0.476
nba,locf,1,0.05,5,822,0.5571167883211681,0.5462287104622872,-0.010888077858880766,0.529,0.5860000000000001
nba,locf,2,0.1,5,822,0.5565279805352795,0.5523114355231143,-0.004216545012165465,0.527,0.5880000000000001
nba,locf,4,0.2,4,825,0.46604727272727364,0.4533333333333333,-0.012713939393939382,0.427,0.506
nba,locf,5,0.25,5,819,0.5454920634920631,0.5433455433455433,-0.0021465201465201474,0.506,0.5840000000000001
nba,locf,8,0.4,6,828,0.6298309178743962,0.6642512077294686,0.034420289855072436,0.585,0.675
nba,locf,9,0.45,7,830,0.7295289156626509,0.7156626506024096,-0.013866265060240955,0.684,0.772
nba,locf,11,0.55,7,827,0.7504159613059259,0.7267230955259976,-0.023692865779927446,0.698,0.799
nba,locf,13,0.65,8,830,0.8781120481927697,0.8530120481927711,-0.025100000000000025,0.829,0.921
nba,locf,14,0.7000000000000001,7,824,0.8000048543689315,0.7730582524271845,-0.026946601941747583,0.739,0.855
nba,locf,15,0.75,5,825,0.5127078787878787,0.553939393939394,0.041231515151515144,0.423,0.602
nba,locf,16,0.8,5,828,0.5125760869565221,0.5362318840579711,0.023655797101449254,0.423,0.607
nba,locf,17,0.8500000000000001,5,825,0.5109672727272732,0.5212121212121212,0.010244848484848494,0.399,0.617
nba,locf,18,0.9,6,826,0.7478171912832924,0.761501210653753,0.013684019370460047,0.642,0.843
nba,locf,19,0.95,5,820,0.7952256097560975,0.8158536585365853,0.02062804878048781,0.663,0.892
nba,linear,2,0.1,10,827,0.8968884258771644,0.8585247883917775,-0.03836363748538763,0.84825,0.9888
nba,linear,3,0.15000000000000002,10,827,0.908834303225592,0.8730350665054414,-0.035799236720151104,0.8609999999999999,0.991375
nba,linear,5,0.25,10,831,0.9307593261131171,0.9169675090252708,-0.013791817087845958,0.885,1
nba,linear,6,0.30000000000000004,10,827,0.9401092005510903,0.9262394195888755,-0.013869780962215016,0.8956153846153845,0.997
nba,linear,7,0.35000000000000003,10,827,0.9487829847073165,0.9310761789600968,-0.017706805747219126,0.9063333333333335,0.9984375
nba,linear,8,0.4,10,829,0.9577495224982174,0.9493365500603136,-0.008412972437903381,0.918,0.999
nba,linear,9,0.45,10,827,0.9663391184642467,0.9516324062877872,-0.014706712176458537,0.9302631578947369,0.999
nba,linear,10,0.5,10,836,0.9729509569377995,0.9593301435406698,-0.013620813397129153,0.942,1
nba,linear,11,0.55,10,827,0.981633494155393,0.973397823458283,-0.00823567069710886,0.9557727272727272,0.999
nba,linear,13,0.65,10,828,0.9923359156496139,0.9867149758454107,-0.005620939804198466,0.9785555555555555,0.999
