K,n_loss,curve,t,upper_gap
100000,5000,"K = 100,000",0.32,-0.009000000000000008
100000,5000,"K = 100,000",0.33,-0.010799999999999976
100000,5000,"K = 100,000",0.34,-0.013999999999999957
100000,5000,"K = 100,000",0.35000000000000003,-0.014399999999999968
100000,5000,"K = 100,000",0.36,-0.013600000000000001
100000,5000,"K = 100,000",0.37,-0.01319999999999999
100000,5000,"K = 100,000",0.38,-0.01200000000000001
100000,5000,"K = 100,000",0.39,-0.010199999999999987
100000,5000,"K = 100,000",0.4,-0.010799999999999976
100000,5000,"K = 100,000",0.41000000000000003,-0.008999999999999952
100000,5000,"K = 100,000",0.42,-0.008000000000000007
100000,5000,"K = 100,000",0.43,-0.006599999999999995
100000,5000,"K = 100,000",0.44,-0.007400000000000018
100000,5000,"K = 100,000",0.45,-0.009199999999999986
100000,5000,"K = 100,000",0.46,-0.008399999999999963
100000,5000,"K = 100,000",0.47000000000000003,-0.006399999999999961
100000,5000,"K = 100,000",0.48,-0.005400000000000016
100000,5000,"K = 100,000",0.49,-0.0050000000000000044
100000,5000,"K = 100,000",0.5,-0.006399999999999961
100000,5000,"K = 100,000",0.51,-0.005800000000000027
100000,5000,"K = 100,000",0.52,-0.006800000000000028
100000,5000,"K = 100,000",0.53,-0.008399999999999963
100000,5000,"K = 100,000",0.54,-0.008399999999999963
100000,5000,"K = 100,000",0.55,-0.006799999999999917
100000,5000,"K = 100,000",0.56,-0.005999999999999894
100000,5000,"K = 100,000",0.5700000000000001,-0.0047999999999999154
100000,5000,"K = 100,000",0.58,-0.006000000000000005
100000,5000,"K = 100,000",0.59,-0.0040000000000000036
100000,5000,"K = 100,000",0.6,-0.0048000000000000265
100000,5000,"K = 100,000",0.61,-0.00660000000000005
100000,5000,"K = 100,000",0.62,-0.0040000000000000036
100000,5000,"K = 100,000",0.63,-0.0038000000000000256
100000,5000,"K = 100,000",0.64,-0.0030000000000000027
100000,5000,"K = 100,000",0.65,-0.0043999999999999595
100000,5000,"K = 100,000",0.66,-0.0040000000000000036
100000,5000,"K = 100,000",0.67,-0.0020000000000000018
100000,5000,"K = 100,000",0.68,-0.0021999999999999797
100000,5000,"K = 100,000",0.6900000000000001,0.0014000000000000679
100000,5000,"K = 100,000",0.7000000000000001,0.001000000000000112
100000,5000,"K = 100,000",0.71,0.0017999999999999128
100000,5000,"K = 100,000",0.72,0.0031999999999999806
100000,5000,"K = 100,000",0.73,0.005599999999999938
100000,5000,"K = 100,000",0.74,0.0041999999999999815
100000,5000,"K = 100,000",0.75,0.0038000000000000256
100000,5000,"K = 100,000",0.76,0.0016000000000000458
100000,5000,"K = 100,000",0.77,0.0021999999999999797
100000,5000,"K = 100,000",0.78,0.0024000000000000687
100000,5000,"K = 100,000",0.79,0.0028000000000000247
