m,curve,t,upper_gap
10,"every 10 updates (K = 1,000)",0.64,-0.05599999999999994
10,"every 10 updates (K = 1,000)",0.65,-0.05557999999999996
10,"every 10 updates (K = 1,000)",0.66,-0.05465999999999993
10,"every 10 updates (K = 1,000)",0.67,-0.05359999999999998
10,"every 10 updates (K = 1,000)",0.68,-0.052019999999999955
10,"every 10 updates (K = 1,000)",0.6900000000000001,-0.05071999999999999
10,"every 10 updates (K = 1,000)",0.7000000000000001,-0.049879999999999924
10,"every 10 updates (K = 1,000)",0.71,-0.04820000000000002
10,"every 10 updates (K = 1,000)",0.72,-0.046619999999999995
10,"every 10 updates (K = 1,000)",0.73,-0.04532000000000003
10,"every 10 updates (K = 1,000)",0.74,-0.04422000000000004
10,"every 10 updates (K = 1,000)",0.75,-0.04298000000000002
10,"every 10 updates (K = 1,000)",0.76,-0.041080000000000005
10,"every 10 updates (K = 1,000)",0.77,-0.03935999999999995
10,"every 10 updates (K = 1,000)",0.78,-0.037939999999999974
10,"every 10 updates (K = 1,000)",0.79,-0.03642000000000001
10,"every 10 updates (K = 1,000)",0.8,-0.03608
10,"every 10 updates (K = 1,000)",0.81,-0.034439999999999915
10,"every 10 updates (K = 1,000)",0.8200000000000001,-0.03369999999999995
10,"every 10 updates (K = 1,000)",0.8300000000000001,-0.03265999999999991
10,"every 10 updates (K = 1,000)",0.84,-0.031000000000000028
10,"every 10 updates (K = 1,000)",0.85,-0.029980000000000007
10,"every 10 updates (K = 1,000)",0.86,-0.028120000000000034
10,"every 10 updates (K = 1,000)",0.87,-0.026580000000000048
10,"every 10 updates (K = 1,000)",0.88,-0.024639999999999995
10,"every 10 updates (K = 1,000)",0.89,-0.023299999999999987
10,"every 10 updates (K = 1,000)",0.9,-0.021519999999999984
10,"every 10 updates (K = 1,000)",0.91,-0.020019999999999927
10,"every 10 updates (K = 1,000)",0.92,-0.018019999999999925
10,"every 10 updates (K = 1,000)",0.93,-0.017100000000000004
10,"every 10 updates (K = 1,000)",0.9400000000000001,-0.014579999999999926
10,"every 10 updates (K = 1,000)",0.9500000000000001,-0.012459999999999916
10,"every 10 updates (K = 1,000)",0.96,-0.010620000000000074
10,"every 10 updates (K = 1,000)",0.97,-0.008099999999999996
10,"every 10 updates (K = 1,000)",0.98,-0.005840000000000067
10,"every 10 updates (K = 1,000)",0.99,-0.0029599999999999627
10,"every 10 updates (K = 1,000)",1,0
