"game_id","season","starting_wp_favored","home_final","away_final","max_wp_loser","bin_idx","bin_center","bin_label"
401127970,2019,0.563,20,27,0.872,2,0.55,"p0=0.55"
401127971,2019,0.717,10,28,0.309,5,0.7,"p0=0.70"
401127972,2019,0.68,30,24,0.661,5,0.7,"p0=0.70"
401127973,2019,0.765,6,13,0.822,6,0.75,"p0=0.75"
401127974,2019,0.548,21,27,0.565,2,0.55,"p0=0.55"
401127975,2019,0.775,10,42,0.266,7,0.8,"p0=0.80"
401127976,2019,0.719,30,27,0.926,5,0.7,"p0=0.70"
401127977,2019,0.782,0,9,0.423,7,0.8,"p0=0.80"
401127978,2019,0.63,33,23,0.767,4,0.65,"p0=0.65"
401127979,2019,0.603,23,20,0.989,3,0.6,"p0=0.60"
401127980,2019,0.909,47,16,0.153,9,0.9,"p0=0.90"
401127981,2019,0.692,35,32,0.999,5,0.7,"p0=0.70"
401127982,2019,0.597,25,36,0.619,3,0.6,"p0=0.60"
401127983,2019,0.699,20,23,0.928,5,0.7,"p0=0.70"
401127984,2019,0.508,14,35,0.774,1,0.5,"p0=0.50"
401127985,2019,0.642,16,30,0.78,4,0.65,"p0=0.65"
401127986,2019,0.884,12,16,0.92,9,0.9,"p0=0.90"
401127987,2019,0.629,37,10,0.392,4,0.65,"p0=0.65"
401127988,2019,0.641,38,20,0.804,4,0.65,"p0=0.65"
401127989,2019,0.62,17,12,0.823,3,0.6,"p0=0.60"
401127990,2019,0.852,31,21,0.464,8,0.85,"p0=0.85"
401127991,2019,0.687,19,21,0.782,5,0.7,"p0=0.70"
401127992,2019,0.753,24,27,0.9,6,0.75,"p0=0.75"
401127993,2019,0.556,27,33,0.599,2,0.55,"p0=0.55"
401127994,2019,0.592,38,35,0.923,3,0.6,"p0=0.60"
401127995,2019,0.771,21,20,0.666,6,0.75,"p0=0.75"
401127996,2019,0.662,19,16,0.781,4,0.65,"p0=0.65"
401127997,2019,0.539,10,45,0.586,2,0.55,"p0=0.55"
401127998,2019,0.799,24,20,0.708,7,0.8,"p0=0.80"
401128000,2019,0.665,42,20,0.419,4,0.65,"p0=0.65"
401128001,2019,0.586,24,21,0.841,3,0.6,"p0=0.60"
401128002,2019,0.534,17,23,0.555,2,0.55,"p0=0.55"
401128003,2019,0.576,15,31,0.472,3,0.6,"p0=0.60"
401128004,2019,0.609,37,8,0.397,3,0.6,"p0=0.60"
401128005,2019,0.536,21,42,0.706,2,0.55,"p0=0.55"
401128006,2019,0.767,31,6,0.238,6,0.75,"p0=0.75"
401128007,2019,0.754,35,17,0.534,6,0.75,"p0=0.75"
401128008,2019,0.566,9,17,0.678,2,0.55,"p0=0.55"
401128009,2019,0.574,28,12,0.524,2,0.55,"p0=0.55"
401128010,2019,0.522,17,31,0.674,1,0.5,"p0=0.50"
401128011,2019,0.554,23,26,0.757,2,0.55,"p0=0.55"
401128012,2019,0.527,6,45,0.48,2,0.55,"p0=0.55"
401128013,2019,0.821,23,17,0.918,7,0.8,"p0=0.80"
401128014,2019,0.733,7,14,0.762,6,0.75,"p0=0.75"
401128015,2019,0.542,20,24,0.844,2,0.55,"p0=0.55"
401128016,2019,0.545,10,24,0.608,2,0.55,"p0=0.55"
401128017,2019,0.786,15,26,0.902,7,0.8,"p0=0.80"
401128018,2019,0.729,25,40,0.775,6,0.75,"p0=0.75"
401128019,2019,0.653,13,20,0.653,4,0.65,"p0=0.65"
401128020,2019,0.934,42,21,0.083,10,0.95,"p0=0.95"
401128021,2019,0.654,30,28,0.9,4,0.65,"p0=0.65"
401128022,2019,0.559,18,26,0.448,2,0.55,"p0=0.55"
401128023,2019,0.701,30,34,0.999,5,0.7,"p0=0.70"
401128024,2019,0.601,24,30,0.414,3,0.6,"p0=0.60"
401128025,2019,0.519,24,16,0.545,1,0.5,"p0=0.50"
401128026,2019,0.755,10,16,0.806,6,0.75,"p0=0.75"
401128027,2019,0.68,20,17,0.597,5,0.7,"p0=0.70"
401128028,2019,0.589,17,38,0.491,3,0.6,"p0=0.60"
401128029,2019,0.606,24,34,0.695,3,0.6,"p0=0.60"
