key,value,formatted,source,league,analysis,sample,estimand
NBARoundingLowerTailNinetyFiveRate,0.0631947800869986,6.3\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,tail,rounding_lower,tail_rate
NBARoundingUpperGlobalD,0.0986254015523051,0.099,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,rounding_upper,D_upper
NBARoundingUpperGlobalP,1e-04,\ensuremath{<0.001},/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,global,rounding_upper,p_value
NBARoundingUpperTailNinetyFiveRate,0.0657322377960367,6.6\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,tail,rounding_upper,tail_rate
NBAScheduledGames,8339,"8,339",feed_coverage_by_season.csv,nba,coverage,all,scheduled_games
NBATailNinetyCILower,0.0144154756296884,1.4\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,tail,corrected,ci_lower
NBATailNinetyCIUpper,0.0398741642173499,4.0\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,tail,corrected,ci_upper
NBATailNinetyExcess,0.0269937167713872,2.7\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,tail,corrected,tail_excess
NBATailNinetyFiveAtomRate,0,0.00\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,boundary,atom,tail_rate
NBATailNinetyFiveCILower,0.0042726918333115,0.4\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,tail,corrected,ci_lower
NBATailNinetyFiveCIUpper,0.0228751961708741,2.3\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,tail,corrected,ci_upper
NBATailNinetyFiveExcess,0.0131947800869985,1.3\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,tail,corrected,tail_excess
NBATailNinetyFiveRate,0.0631947800869986,6.3\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,tail,corrected,tail_rate
NBATailNinetyFiveStrictRate,0.0631947800869986,6.3\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,boundary,strict,tail_rate
NBATailNinetyNineCILower,-0.00290358781801102,-0.3\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,tail,corrected,ci_lower
NBATailNinetyNineCIUpper,0.00461297730896342,0.5\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,tail,corrected,ci_upper
NBATailNinetyNineExcess,0.000512324794586749,0.1\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,tail,corrected,tail_excess
NBATailNinetyNineRate,0.0105123247945868,1.1\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,tail,corrected,tail_rate
NBATailNinetyRate,0.126993716771387,12.7\%,/Users/Jonathan/research/max-wp-loser/results/tables/manuscript/dependent-inference-results.csv,nba,tail,corrected,tail_rate
NBATiedGames,0,0,feed_coverage_by_season.csv,nba,coverage,all,tied_games
